IP= 192.168.50.5; Date=Fri Mar 06 17:16:31 GMT-800 2015; Duration=1137ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:42 GMT-800 2015; Duration=137ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:46 GMT-800 2015; Duration=140ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:49 GMT-800 2015; Duration=144ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:53 GMT-800 2015; Duration=147ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:56 GMT-800 2015; Duration=149ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:17:59 GMT-800 2015; Duration=145ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:03 GMT-800 2015; Duration=142ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:06 GMT-800 2015; Duration=139ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:10 GMT-800 2015; Duration=144ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:13 GMT-800 2015; Duration=156ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:17 GMT-800 2015; Duration=161ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:20 GMT-800 2015; Duration=138ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:24 GMT-800 2015; Duration=235ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:27 GMT-800 2015; Duration=677ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:30 GMT-800 2015; Duration=151ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:34 GMT-800 2015; Duration=153ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:36 GMT-800 2015; Duration=135ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:41 GMT-800 2015; Duration=142ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:43 GMT-800 2015; Duration=145ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:47 GMT-800 2015; Duration=142ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:51 GMT-800 2015; Duration=131ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:55 GMT-800 2015; Duration=149ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:18:58 GMT-800 2015; Duration=148ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:19:01 GMT-800 2015; Duration=146ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:19:05 GMT-800 2015; Duration=137ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:19:08 GMT-800 2015; Duration=143ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:19:11 GMT-800 2015; Duration=145ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
IP= 192.168.50.5; Date=Fri Mar 06 17:19:14 GMT-800 2015; Duration=137ms; Number of Reads=1; Number of Writes=1; Number of Updates=1; Status=Fail;Message=MySQL (update): Table 'UnixTestDB.basicTable' doesn't exist
